"movie","total_ratings","average_rate"
"240",2208,199,4.1859
"241",2248,914,4.0175
"242",2300,658,4.1444
"243",2309,2,4.5
"244",2313,457,4.0131
"245",2324,1152,4.3299
"246",2329,640,4.2266
"247",2330,92,4.163
"248",2336,938,4.0299
"249",2351,111,4.2072
"250",2357,215,4.2837
"251",2360,117,4.3077
"252",2396,2369,4.1275
"253",2480,2,4.5
"254",2493,28,4.1429
"255",2501,588,4.1378
"256",2503,9,4.6667
"257",2571,2590,4.3158
"258",2607,68,4.0882
"259",2609,67,4.2239
"260",2612,136,4.0882
"261",2624,102,4.0882
"262",2677,230,4.0565
"263",2682,88,4.0568
"264",2692,1072,4.2248
"265",2726,130,4.1692
"266",2728,426,4.0188
"267",2731,187,4.3209
"268",2761,674,4.0475
"269",2762,2459,4.4063
"270",2788,451,4.1375
"271",2804,1352,4.2389
"272",2819,319,4.0408
"273",2839,10,4.3
"274",2858,3428,4.3174
"275",2859,239,4.2343
"276",2905,69,4.6087
"277",2908,850,4.0141
"278",2917,504,4.0317
"279",2918,1473,4.1174
"280",2920,100,4.19
"281",2925,57,4.2281
"282",2927,99,4.0808
"283",2930,5,4.4
"284",2931,10,4.3
"285",2935,145,4.1931
"286",2936,161,4.0932
"287",2937,104,4.2885
"288",2940,107,4.0093
"289",2944,707,4.0042
"290",2959,1451,4.0772
"291",2966,429,4.0559
"292",2972,65,4.0154
"293",2973,460,4.05
"294",2997,2241,4.1254
"295",3000,345,4.1478
"296",3006,884,4.0588
"297",3007,295,4.0136
"298",3022,206,4.3689
"299",3030,215,4.4047
"300",3035,421,4.1496
"301",3037,591,4.044
"302",3038,74,4.2027
"303",3077,88,4.2273
"304",3083,394,4.0863
"305",3088,356,4.0899
"306",3089,252,4.3571
"307",3090,177,4.1412
"308",3091,141,4.2837
"309",3095,521,4.1344
"310",3097,206,4.0388
"311",3114,1585,4.2189
"312",3134,165,4.3394
"313",3147,1222,4.1547
"314",3172,1,5
"315",3192,24,4.0833
"316",3196,394,4.2284
"317",3198,325,4.0738
"318",3222,30,4.1667
"319",3224,77,4.0519
"320",3233,2,5
"321",3245,5,4.8
"322",3265,327,4.1376
"323",3280,1,5
"324",3281,49,4.0408
"325",3307,271,4.3875
"326",3334,461,4.0824
"327",3338,27,4.4444
"328",3341,177,4.0395
"329",3359,520,4.0808
"330",3363,990,4.0263
"331",3365,245,4.0857
"332",3382,1,5
"333",3410,9,4.3333
"334",3421,1207,4.053
"335",3429,274,4.3358
"336",3435,551,4.4156
"337",3462,305,4.2361
"338",3467,279,4.0215
"339",3468,450,4.24
"340",3469,268,4.2799
"341",3470,92,4.3261
"342",3471,1451,4.0145
"343",3498,295,4.0068
"344",3504,688,4.0203
"345",3507,389,4.0334
"346",3508,365,4.0438
"347",3517,2,4.5
"348",3578,1924,4.106
"349",3607,1,5
"350",3629,275,4.1891
"351",3634,165,4.2545
"352",3656,1,5
"353",3671,1119,4.0474
"354",3679,62,4.2742
"355",3683,628,4.2182
"356",3730,453,4.2494
"357",3741,241,4.0788
"358",3783,235,4.0298
"359",3789,156,4.1987
"360",3801,199,4.2312
"361",3808,44,4.0227
"362",3811,360,4.1028
"363",3814,219,4.0228
"364",3819,245,4.0245
"365",3849,43,4.0465
"366",3881,1,5
"367",3888,2,4.5
"368",3897,994,4.2264
"369",3911,657,4.0731
"370",3949,304,4.1151
